additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,short_name,character,unicodes
,keyboard,164,1001A8,FALSE,,,power,,,power,􀆨,XXXXX
,,164,100968,FALSE,,,,,,doc.plaintext.fill,􀥨,XXXXX
,,166,10098B,FALSE,,,,,,doc.append.fill,􀦋,XXXXX
,keyboard,167,1001AA,FALSE,,,change.keyboard,,,globe,􀆪,XXXXX
weather,"weather, keyboard",168,1001AB,FALSE,,,brightness.lower,,,sun.min,􀆫,XXXXX
weather,"weather, keyboard",169,1001AC,FALSE,,,brightness.lower.fill,,,sun.min.fill,􀆬,XXXXX
,,169,10095C,FALSE,,,,,,chart.bar.doc.horizontal,􀥜,XXXXX
weather,"weather, keyboard",170,1001AD,FALSE,,,brightness.higher,,,sun.max,􀆭,XXXXX
,,170,10098C,FALSE,,,,,,chart.bar.doc.horizontal.fill,􀦌,XXXXX
weather,"weather, keyboard",171,1001AE,FALSE,,,brightness.higher.fill,,,sun.max.fill,􀆮,XXXXX
,,171,100A73,FALSE,,,,,,list.bullet.rectangle,􀩳,XXXXX
weather,weather,174,1001B1,FALSE,,,sunrise,,,sunrise,􀆱,XXXXX
weather,weather,175,1001B2,FALSE,,,sunrise.fill,,,sunrise.fill,􀆲,XXXXX
,objects & tools,175,1009F5,FALSE,,,,,,note,􀭿,XXXXX
weather,weather,176,1001B3,FALSE,,,sunset,,,sunset,􀆳,XXXXX
,objects & tools,176,1004D5,FALSE,,,notes,,,note.text,􀓕,XXXXX
weather,weather,177,1001B4,FALSE,,,sunset.fill,,,sunset.fill,􀆴,XXXXX
,objects & tools,177,1008D9,FALSE,,,,,,note.text.badge.plus,􀣙,XXXXX
weather,weather,178,1001B5,FALSE,,,,,,sun.dust,􀆵,XXXXX
weather,weather,179,1001B6,FALSE,,,,,,sun.dust.fill,􀆶,XXXXX
weather,weather,180,1001B7,FALSE,,,,,,sun.haze,􀆷,XXXXX
